customer_id,age,gender,location,frequency,avg_order_value,total_spent,avg_session_time_min,pages_viewed,product_category,recency_days,churned
27,29,Male,Greater Accra,0,88.51,0.0,12.75,4,Health,360,1
28,39,Male,Greater Accra,1,41.59,41.59,18.97,7,Groceries,22,0
29,61,Male,Ashanti Region,1,19.58,19.58,2.95,5,Fashion,4,0
30,42,Male,Greater Accra,3,5.0,15.0,12.61,1,Health,37,0
31,66,Male,Eastern Region,1,41.5,41.5,8.63,3,Books,26,0
32,44,Male,Greater Accra,1,33.49,33.49,2.49,5,Electronics,74,0
33,59,Male,Eastern Region,3,59.58,178.73,0.68,3,Books,1,0
34,45,Female,Greater Accra,2,36.42,72.83,6.89,4,Electronics,106,0
35,33,Female,Greater Accra,3,10.16,30.47,0.88,5,Electronics,32,0
36,32,Female,Greater Accra,1,81.77,81.77,2.09,4,Electronics,38,0
37,64,Male,Western Region,0,50.89,0.0,4.16,1,Books,203,1
38,68,Female,Savana Region,0,33.65,0.0,6.83,9,Groceries,651,1
39,61,Female,Greater Accra,1,44.12,44.12,15.64,3,Electronics,30,0
40,69,Female,Northern Region,6,51.85,311.11,5.4,10,Groceries,110,0
41,20,Female,Eastern Region,0,5.0,0.0,6.68,2,Electronics,280,1
42,54,Female,Volta Region,5,43.94,219.71,2.23,2,Groceries,249,0
43,68,Female,Ashanti Region,1,28.75,28.75,6.97,4,Fashion,62,0
44,24,Male,Northern Region,3,52.68,158.05,3.46,7,Electronics,56,0
45,38,Female,Greater Accra,3,21.5,64.49,11.67,5,Health,35,0
46,26,Female,Ashanti Region,2,24.88,49.76,2.99,2,Furniture,20,0
47,56,Female,Volta Region,2,81.57,163.14,3.79,6,Groceries,33,0
48,35,Female,Ashanti Region,2,70.77,141.55,3.4,6,Groceries,9,0
49,21,Male,Greater Accra,2,5.0,10.0,10.0,4,Fashion,18,0
50,42,Male,Greater Accra,4,68.92,275.68,18.44,4,Groceries,40,0
51,31,Female,Northern Region,2,38.16,76.32,2.38,3,Electronics,9,0
52,67,Female,Eastern Region,1,22.3,22.3,3.87,1,Fashion,94,1
53,26,Female,Ashanti Region,2,14.82,29.64,7.34,5,Groceries,0,0
54,43,Male,Volta Region,3,16.27,48.82,13.54,4,Groceries,23,0
55,19,Male,Greater Accra,3,23.0,69.0,4.08,2,Health,43,0
56,37,Female,Greater Accra,1,11.82,11.82,0.69,2,Groceries,158,1
57,45,Female,Western Region,3,6.14,18.41,2.76,8,Books,51,0
58,64,Female,Greater Accra,3,13.99,41.97,4.8,6,Furniture,20,0
59,24,Male,Greater Accra,1,48.08,48.08,3.24,4,Furniture,26,0
60,61,Female,Ashanti Region,1,41.25,41.25,1.24,4,Electronics,24,0
61,25,Male,Savana Region,0,53.9,0.0,0.23,3,Groceries,121,1
62,64,Female,Greater Accra,1,38.34,38.34,6.98,3,Groceries,23,0
63,52,Male,Western Region,2,7.33,14.67,29.55,5,Furniture,22,0
64,31,Male,Savana Region,4,52.36,209.44,15.1,4,Electronics,1,0
65,34,Female,Greater Accra,3,14.88,44.65,6.9,7,Electronics,143,0
66,53,Female,Northern Region,1,56.17,56.17,11.05,7,Electronics,6,0
67,67,Male,Ashanti Region,3,10.85,32.56,1.77,5,Fashion,39,0
68,57,Female,Ashanti Region,4,22.81,91.25,5.84,5,Electronics,42,0
69,21,Male,Northern Region,2,30.97,61.93,0.38,4,Health,35,0
70,19,Male,Volta Region,3,56.86,170.58,7.37,3,Health,51,0
71,23,Male,Greater Accra,1,44.4,44.4,21.01,4,Health,78,0
72,59,Male,Ashanti Region,0,40.5,0.0,11.83,2,Groceries,504,1
73,21,Female,Ashanti Region,1,87.14,87.14,4.59,2,Furniture,16,0
74,46,Male,Ashanti Region,1,5.0,5.0,9.33,6,Health,38,0
75,35,Male,Ashanti Region,3,14.04,42.12,17.28,7,Fashion,86,0
76,43,Female,Greater Accra,1,12.97,12.97,1.46,2,Electronics,70,0
77,61,Male,Northern Region,4,5.0,20.0,9.46,4,Furniture,4,0
78,51,Female,Ashanti Region,4,22.01,88.05,1.89,7,Furniture,26,0
79,27,Male,Greater Accra,1,57.19,57.19,12.57,2,Furniture,77,0
80,53,Female,Savana Region,1,25.21,25.21,0.62,6,Electronics,11,0
81,31,Male,Savana Region,1,31.67,31.67,1.18,5,Groceries,13,0
82,48,Male,Ashanti Region,3,5.0,15.0,7.65,9,Groceries,59,0
83,65,Male,Greater Accra,3,20.09,60.26,1.15,5,Electronics,20,0
84,32,Male,Eastern Region,2,28.46,56.92,1.03,3,Furniture,23,0
85,25,Male,Greater Accra,2,56.06,112.12,4.86,5,Groceries,44,0
86,31,Female,Greater Accra,4,5.0,20.0,10.81,2,Electronics,83,0
87,40,Female,Northern Region,1,28.62,28.62,1.88,15,Fashion,41,0
88,57,Female,Greater Accra,2,67.17,134.34,11.04,8,Furniture,134,0
89,38,Female,Greater Accra,2,28.87,57.75,9.9,6,Health,6,0
90,33,Male,Greater Accra,2,5.0,10.0,5.19,4,Groceries,84,0
91,62,Male,Greater Accra,3,71.98,215.94,6.24,10,Electronics,47,0
92,35,Male,Greater Accra,2,58.37,116.74,0.25,3,Furniture,101,0
93,64,Male,Volta Region,1,61.73,61.73,2.74,3,Fashion,22,0
94,41,Female,Greater Accra,3,5.0,15.0,1.83,6,Fashion,39,0
95,43,Female,Greater Accra,2,77.81,155.62,0.98,5,Furniture,104,0
96,42,Male,Greater Accra,2,20.67,41.34,2.96,6,Furniture,106,0
97,62,Male,Western Region,4,27.26,109.06,2.63,5,Electronics,28,0
98,58,Female,Ashanti Region,0,22.43,0.0,7.83,6,Electronics,698,1
99,46,Female,Ashanti Region,5,63.67,318.37,5.47,6,Electronics,68,0
100,32,Male,Savana Region,1,35.51,35.51,14.66,8,Health,31,0
101,62,Female,Ashanti Region,1,52.04,52.04,0.94,2,Electronics,209,1
102,18,Female,Greater Accra,2,41.9,83.8,0.37,5,Electronics,1,0
103,42,Male,Greater Accra,1,37.62,37.62,4.59,4,Books,28,0
104,24,Male,Ashanti Region,1,16.33,16.33,0.01,2,Electronics,21,0
105,26,Female,Greater Accra,0,85.3,0.0,9.3,6,Electronics,162,1
106,41,Female,Eastern Region,1,5.0,5.0,4.23,7,Fashion,6,0
107,18,Female,Greater Accra,1,50.31,50.31,4.02,6,Electronics,59,0
108,61,Male,Eastern Region,1,49.42,49.42,2.7,9,Furniture,75,0
109,25,Male,Greater Accra,1,68.86,68.86,2.82,4,Fashion,12,0
110,41,Female,Greater Accra,0,74.7,0.0,3.38,5,Electronics,581,1
111,28,Female,Ashanti Region,3,36.57,109.7,0.1,3,Books,65,0
112,68,Male,Western Region,1,53.26,53.26,0.52,1,Fashion,122,1
113,34,Female,Ashanti Region,2,84.12,168.24,4.22,8,Groceries,35,0
114,25,Female,Eastern Region,1,38.37,38.37,0.98,5,Health,139,1
115,52,Female,Greater Accra,1,13.34,13.34,9.05,7,Books,298,1
116,52,Female,Greater Accra,1,30.39,30.39,1.93,7,Fashion,11,0
117,50,Female,Greater Accra,1,7.38,7.38,0.62,5,Books,75,0
118,22,Male,Greater Accra,4,49.3,197.18,1.61,2,Groceries,71,0
119,59,Female,Greater Accra,5,66.61,333.06,2.65,6,Furniture,36,0
120,56,Male,Greater Accra,1,36.97,36.97,0.22,3,Groceries,21,0
121,58,Female,Northern Region,0,5.0,0.0,0.92,9,Fashion,180,1
122,45,Male,Greater Accra,3,65.54,196.62,2.35,2,Fashion,14,0
123,24,Female,Eastern Region,4,5.0,20.0,2.23,3,Furniture,167,0
124,26,Male,Ashanti Region,4,5.0,20.0,9.67,11,Fashion,80,0
125,25,Male,Ashanti Region,4,35.54,142.17,11.12,6,Groceries,107,0
126,29,Male,Eastern Region,3,46.29,138.88,1.29,1,Fashion,43,0
127,51,Male,Greater Accra,2,50.56,101.11,0.79,8,Groceries,29,0
128,50,Female,Greater Accra,0,38.35,0.0,6.03,8,Electronics,211,1
129,65,Female,Northern Region,3,84.0,252.0,9.8,8,Electronics,38,0
130,40,Female,Savana Region,3,41.63,124.89,19.9,3,Groceries,28,0
131,41,Male,Greater Accra,2,65.87,131.73,0.04,8,Fashion,25,0
132,54,Male,Greater Accra,1,59.67,59.67,3.2,7,Groceries,10,0
133,52,Male,Western Region,2,7.68,15.36,7.95,4,Groceries,45,0
134,61,Male,Greater Accra,1,35.76,35.76,10.58,6,Fashion,44,0
135,57,Female,Eastern Region,0,93.08,0.0,0.39,7,Electronics,204,1
136,39,Male,Ashanti Region,4,27.39,109.56,6.85,2,Electronics,80,0
137,44,Male,Greater Accra,1,23.13,23.13,2.05,8,Groceries,177,1
138,52,Male,Eastern Region,4,44.26,177.06,0.47,14,Health,0,0
139,18,Male,Ashanti Region,2,28.29,56.57,4.03,6,Fashion,137,0
140,52,Female,Greater Accra,1,20.16,20.16,1.03,2,Electronics,204,1
141,54,Female,Ashanti Region,3,27.92,83.75,8.01,3,Electronics,120,0
142,64,Male,Savana Region,2,75.8,151.6,8.11,5,Electronics,178,0
143,31,Male,Eastern Region,1,36.58,36.58,11.07,8,Books,7,0
144,20,Male,Greater Accra,0,6.8,0.0,2.84,5,Electronics,212,1
145,18,Male,Ashanti Region,0,5.0,0.0,0.08,1,Electronics,661,1
146,22,Male,Northern Region,4,95.17,380.68,1.8,4,Groceries,4,0
147,43,Female,Savana Region,4,34.42,137.67,3.78,7,Groceries,68,0
148,31,Female,Eastern Region,3,50.86,152.59,7.11,12,Furniture,72,0
149,56,Female,Greater Accra,1,20.72,20.72,2.89,1,Fashion,59,0
150,44,Male,Northern Region,1,48.02,48.02,4.61,6,Groceries,124,1
151,26,Male,Eastern Region,4,76.48,305.93,4.46,2,Groceries,82,0
152,32,Female,Greater Accra,1,23.69,23.69,1.08,1,Fashion,10,0
153,32,Female,Ashanti Region,3,51.46,154.39,5.85,12,Electronics,17,0
154,43,Female,Greater Accra,1,5.0,5.0,3.47,5,Health,37,0
155,59,Male,Eastern Region,3,90.57,271.71,9.9,9,Electronics,30,0
156,30,Female,Greater Accra,2,46.71,93.43,7.04,3,Furniture,65,0
157,68,Male,Eastern Region,2,29.68,59.36,0.71,4,Groceries,8,0
158,49,Female,Western Region,3,32.55,97.66,4.03,3,Groceries,26,0
159,56,Female,Savana Region,3,27.25,81.75,7.27,1,Groceries,16,0
160,66,Female,Western Region,2,28.53,57.05,0.55,4,Groceries,20,0
161,69,Male,Volta Region,1,5.0,5.0,9.44,6,Health,74,0
162,49,Female,Greater Accra,1,37.55,37.55,1.51,5,Fashion,5,0
163,21,Male,Eastern Region,2,36.5,73.01,4.2,4,Groceries,131,0
164,47,Male,Ashanti Region,2,52.22,104.43,16.94,6,Groceries,61,0
165,54,Male,Savana Region,3,26.92,80.76,5.08,4,Furniture,31,0
166,40,Female,Greater Accra,0,20.72,0.0,3.31,2,Books,145,1
167,56,Male,Volta Region,4,39.81,159.22,0.04,7,Groceries,71,0
168,62,Male,Eastern Region,3,5.0,15.0,0.86,3,Fashion,78,0
169,32,Female,Savana Region,0,43.59,0.0,5.19,3,Health,211,1
170,60,Male,Greater Accra,2,5.0,10.0,4.09,4,Furniture,49,0
171,46,Female,Greater Accra,0,68.02,0.0,2.71,4,Furniture,249,1
172,53,Male,Northern Region,2,57.11,114.21,15.4,5,Furniture,48,0
173,30,Male,Greater Accra,1,16.85,16.85,2.43,1,Fashion,35,0
174,49,Female,Savana Region,4,56.53,226.11,4.62,1,Groceries,85,0
175,24,Male,Greater Accra,1,42.79,42.79,5.05,5,Electronics,39,0
176,68,Male,Eastern Region,0,14.77,0.0,4.5,2,Health,156,1
177,39,Female,Ashanti Region,2,5.0,10.0,3.9,2,Groceries,6,0
178,45,Female,Eastern Region,2,47.91,95.82,2.47,7,Fashion,80,0
179,19,Female,Northern Region,1,20.14,20.14,14.37,2,Electronics,8,0
180,59,Male,Greater Accra,2,67.37,134.75,3.6,5,Fashion,180,0
181,62,Male,Greater Accra,3,40.35,121.05,4.51,5,Health,96,0
182,23,Female,Greater Accra,2,22.51,45.02,6.41,6,Electronics,20,0
183,45,Female,Eastern Region,1,84.95,84.95,0.42,6,Furniture,2,0
184,45,Female,Ashanti Region,0,54.41,0.0,9.12,3,Fashion,145,1
185,61,Female,Northern Region,2,5.0,10.0,4.31,6,Health,19,0
186,61,Female,Ashanti Region,2,27.84,55.68,6.42,9,Fashion,56,0
187,37,Male,Ashanti Region,1,5.4,5.4,8.87,3,Groceries,105,1
188,47,Male,Ashanti Region,3,20.01,60.02,12.43,4,Fashion,107,0
189,28,Female,Greater Accra,1,36.38,36.38,2.99,3,Fashion,106,1
190,45,Male,Greater Accra,4,48.85,195.4,10.01,4,Fashion,229,0
191,42,Male,Volta Region,3,46.53,139.6,1.8,9,Groceries,3,0
192,56,Female,Savana Region,4,66.95,267.79,6.48,3,Books,30,0
193,50,Female,Greater Accra,3,55.91,167.74,0.65,3,Electronics,146,0
194,18,Male,Eastern Region,0,54.37,0.0,0.12,4,Groceries,282,1
195,44,Male,Savana Region,3,45.04,135.11,0.6,6,Fashion,123,0
196,69,Male,Ashanti Region,1,72.17,72.17,2.31,3,Furniture,1,0
197,30,Female,Greater Accra,0,32.09,0.0,0.19,5,Furniture,508,1
198,58,Female,Greater Accra,2,32.74,65.48,5.97,2,Furniture,153,0
199,20,Male,Ashanti Region,3,5.0,15.0,2.28,5,Furniture,18,0
200,56,Male,Volta Region,3,66.4,199.21,8.0,4,Health,159,0
201,23,Female,Northern Region,0,38.08,0.0,0.28,11,Electronics,464,1
202,25,Male,Greater Accra,0,113.34,0.0,1.47,5,Health,515,1
203,44,Female,Greater Accra,3,29.86,89.59,3.15,7,Furniture,4,0
204,26,Female,Northern Region,2,42.21,84.43,2.89,5,Fashion,38,0
205,54,Male,Savana Region,5,53.66,268.31,0.84,2,Electronics,6,0
206,50,Female,Eastern Region,3,12.45,37.36,30.83,6,Health,15,0
207,68,Male,Eastern Region,1,48.96,48.96,2.01,5,Furniture,21,0
208,59,Male,Greater Accra,1,40.87,40.87,7.66,2,Groceries,39,0
209,61,Female,Savana Region,1,32.41,32.41,1.49,5,Fashion,29,0
210,41,Male,Northern Region,2,69.32,138.63,12.62,4,Fashion,153,0
211,32,Female,Greater Accra,0,17.41,0.0,2.94,4,Books,463,1
212,49,Female,Northern Region,4,46.87,187.49,13.87,5,Books,82,0
213,49,Male,Greater Accra,0,76.37,0.0,2.51,4,Groceries,608,1
214,41,Male,Greater Accra,2,22.33,44.67,0.05,6,Groceries,49,0
215,58,Male,Greater Accra,2,32.58,65.16,4.37,4,Groceries,110,0
216,69,Male,Greater Accra,1,98.63,98.63,4.46,6,Furniture,3,0
217,66,Male,Greater Accra,1,51.86,51.86,0.77,5,Furniture,45,0
218,66,Male,Ashanti Region,3,27.35,82.04,1.61,3,Books,30,0
219,69,Male,Ashanti Region,2,60.07,120.13,9.18,3,Groceries,28,0
220,29,Female,Ashanti Region,5,25.8,128.99,0.22,6,Groceries,25,0
221,56,Female,Greater Accra,1,5.0,5.0,4.03,4,Electronics,61,0
222,19,Female,Greater Accra,4,74.31,297.24,4.54,5,Books,32,0
223,20,Male,Eastern Region,2,12.42,24.85,7.0,3,Furniture,23,0
224,66,Male,Ashanti Region,2,101.29,202.59,0.23,6,Books,50,0
225,54,Female,Greater Accra,2,27.77,55.53,5.29,8,Groceries,28,0
226,66,Male,Savana Region,4,93.33,373.33,0.02,1,Electronics,2,0
227,34,Male,Northern Region,0,5.78,0.0,1.85,6,Furniture,579,1
228,66,Female,Savana Region,1,65.64,65.64,4.16,5,Health,1,0
229,19,Female,Ashanti Region,1,52.49,52.49,14.53,5,Electronics,45,0
230,19,Female,Greater Accra,3,60.94,182.83,0.81,6,Health,8,0
231,45,Male,Northern Region,1,64.2,64.2,1.11,9,Groceries,32,0
232,40,Female,Greater Accra,1,27.56,27.56,6.64,6,Electronics,43,0
233,54,Female,Ashanti Region,3,7.28,21.84,2.82,7,Fashion,15,0
234,49,Female,Greater Accra,2,38.73,77.45,5.86,3,Electronics,13,0
235,50,Female,Savana Region,6,45.58,273.45,35.84,5,Electronics,1,0
236,18,Female,Greater Accra,4,28.2,112.82,26.0,4,Health,52,0
237,36,Female,Western Region,1,46.94,46.94,2.62,7,Groceries,13,0
238,19,Male,Savana Region,1,48.24,48.24,4.21,2,Fashion,126,1
239,61,Female,Ashanti Region,1,17.25,17.25,14.1,4,Electronics,55,0
240,43,Female,Northern Region,2,49.87,99.75,0.58,8,Electronics,48,0
241,49,Female,Eastern Region,2,33.32,66.64,3.61,1,Books,42,0
242,23,Male,Savana Region,7,22.5,157.5,2.84,4,Groceries,14,0
243,49,Male,Ashanti Region,3,59.68,179.05,2.1,12,Electronics,209,0
244,21,Female,Northern Region,1,20.58,20.58,30.9,4,Groceries,204,1
245,28,Female,Ashanti Region,1,28.58,28.58,7.94,8,Books,23,0
246,34,Female,Western Region,1,41.8,41.8,2.95,6,Groceries,89,0
247,55,Female,Ashanti Region,1,74.36,74.36,10.6,9,Fashion,7,0
248,41,Female,Ashanti Region,2,44.82,89.64,4.04,7,Health,90,0
249,22,Female,Northern Region,2,53.21,106.41,12.37,5,Groceries,20,0
250,69,Female,Savana Region,1,32.56,32.56,1.86,4,Electronics,20,0
251,51,Female,Eastern Region,3,38.04,114.11,1.52,8,Books,42,0
252,23,Female,Greater Accra,1,38.78,38.78,1.7,2,Health,29,0
253,39,Male,Ashanti Region,0,47.33,0.0,4.64,3,Furniture,503,1
254,28,Male,Volta Region,2,32.6,65.2,2.07,2,Furniture,53,0
255,65,Female,Northern Region,5,73.5,367.5,0.95,4,Electronics,14,0
256,33,Male,Savana Region,2,30.67,61.34,31.36,9,Health,35,0
257,50,Male,Greater Accra,2,5.0,10.0,13.84,5,Fashion,15,0
258,26,Male,Ashanti Region,1,108.57,108.57,6.05,4,Furniture,116,1
259,23,Male,Eastern Region,3,31.82,95.45,13.33,5,Electronics,24,0
260,33,Male,Savana Region,1,72.83,72.83,16.44,6,Electronics,131,1
261,46,Male,Greater Accra,1,75.12,75.12,6.76,4,Books,23,0
262,20,Female,Savana Region,2,63.63,127.26,4.39,6,Furniture,11,0
263,37,Female,Ashanti Region,3,35.05,105.15,12.82,6,Health,51,0
264,53,Male,Greater Accra,1,47.17,47.17,5.03,7,Health,48,0
265,36,Male,Greater Accra,4,8.14,32.55,0.81,7,Books,57,0
266,43,Female,Greater Accra,3,89.75,269.26,2.74,3,Books,21,0
267,20,Male,Ashanti Region,3,18.7,56.11,3.54,5,Furniture,23,0
268,36,Female,Greater Accra,2,33.65,67.3,16.43,3,Books,16,0
269,37,Female,Greater Accra,4,42.47,169.9,6.46,5,Fashion,158,0
270,49,Female,Savana Region,3,37.31,111.94,12.49,5,Groceries,68,0
271,24,Male,Greater Accra,2,23.58,47.16,8.5,4,Health,84,0
272,69,Female,Greater Accra,3,74.86,224.58,2.23,4,Books,12,0
273,58,Male,Ashanti Region,2,63.76,127.51,7.61,4,Furniture,65,0
274,50,Female,Ashanti Region,1,48.05,48.05,1.3,5,Fashion,86,0
275,57,Female,Northern Region,2,30.01,60.02,3.15,7,Groceries,25,0
276,56,Male,Ashanti Region,4,66.61,266.43,9.84,2,Furniture,10,0
277,35,Male,Northern Region,3,28.39,85.16,5.68,4,Groceries,71,0
278,57,Male,Eastern Region,5,79.26,396.3,10.47,7,Health,56,0
279,18,Female,Greater Accra,2,42.78,85.56,1.76,2,Health,51,0
280,28,Male,Greater Accra,0,70.74,0.0,8.31,5,Fashion,144,1
281,45,Female,Ashanti Region,1,37.15,37.15,1.36,10,Furniture,32,0
282,42,Male,Ashanti Region,1,41.79,41.79,4.73,9,Electronics,340,1
283,67,Female,Northern Region,0,70.64,0.0,3.41,6,Groceries,238,1
284,40,Female,Eastern Region,0,94.85,0.0,4.88,3,Electronics,267,1
285,48,Female,Ashanti Region,4,79.01,316.04,0.87,10,Health,158,0
286,47,Female,Greater Accra,2,61.93,123.86,2.69,1,Fashion,28,0
287,59,Male,Greater Accra,4,54.73,218.93,6.6,11,Electronics,40,0
288,52,Male,Eastern Region,1,27.33,27.33,4.91,2,Groceries,13,0
289,24,Female,Ashanti Region,1,47.38,47.38,4.78,6,Electronics,0,0
290,33,Male,Ashanti Region,1,17.17,17.17,4.29,5,Fashion,12,0
291,43,Male,Greater Accra,6,49.39,296.37,17.28,9,Furniture,158,0
292,65,Male,Eastern Region,2,51.0,102.0,16.36,9,Fashion,36,0
293,69,Male,Savana Region,2,5.0,10.0,2.68,7,Electronics,8,0
294,66,Male,Greater Accra,3,40.97,122.91,2.6,9,Fashion,36,0
295,19,Female,Ashanti Region,6,50.37,302.23,4.86,7,Electronics,94,0
296,18,Male,Volta Region,4,37.91,151.63,0.6,4,Groceries,41,0
297,65,Female,Greater Accra,2,48.95,97.9,2.17,2,Electronics,165,0
298,29,Male,Eastern Region,1,6.46,6.46,1.57,3,Furniture,137,1
299,22,Female,Greater Accra,2,20.6,41.21,1.52,5,Furniture,38,0
300,54,Male,Eastern Region,2,65.87,131.75,6.11,4,Books,5,0
301,49,Female,Greater Accra,1,40.01,40.01,2.91,2,Electronics,73,0
302,26,Female,Volta Region,0,48.5,0.0,1.13,2,Books,258,1
303,58,Male,Northern Region,0,26.34,0.0,13.11,3,Electronics,458,1
304,52,Female,Northern Region,1,40.49,40.49,12.44,1,Health,161,1
305,36,Female,Northern Region,2,5.0,10.0,11.9,4,Electronics,52,0
306,65,Female,Eastern Region,4,61.15,244.6,2.97,4,Books,129,0
307,33,Female,Ashanti Region,0,85.2,0.0,0.35,7,Health,367,1
308,20,Male,Savana Region,4,13.37,53.5,0.68,6,Electronics,1,0
309,37,Female,Volta Region,5,16.49,82.46,1.94,1,Electronics,11,0
310,41,Male,Ashanti Region,2,51.02,102.04,1.49,4,Furniture,114,0
311,50,Male,Western Region,1,76.85,76.85,12.43,5,Furniture,188,1
312,41,Female,Eastern Region,2,39.95,79.9,25.77,5,Groceries,12,0
313,69,Male,Ashanti Region,1,9.27,9.27,10.18,4,Furniture,88,0
314,28,Female,Ashanti Region,1,34.78,34.78,7.85,4,Groceries,7,0
315,66,Female,Greater Accra,2,14.25,28.5,5.33,9,Fashion,38,0
316,25,Female,Greater Accra,0,23.28,0.0,8.82,9,Electronics,300,1
317,53,Female,Greater Accra,0,32.4,0.0,17.63,4,Electronics,412,1
318,55,Male,Ashanti Region,3,16.77,50.3,5.52,7,Fashion,21,0
319,57,Male,Ashanti Region,2,20.55,41.1,1.01,2,Fashion,0,0
320,37,Male,Ashanti Region,2,41.86,83.73,1.07,5,Groceries,39,0
321,52,Male,Volta Region,0,45.38,0.0,5.26,6,Health,594,1
322,65,Male,Ashanti Region,1,5.0,5.0,2.43,4,Electronics,39,0
323,42,Male,Ashanti Region,0,49.91,0.0,14.46,1,Furniture,589,1
324,52,Female,Greater Accra,1,30.45,30.45,5.67,5,Electronics,51,0
325,42,Female,Greater Accra,0,58.01,0.0,6.77,2,Books,535,1
326,46,Male,Northern Region,2,59.51,119.02,0.04,5,Groceries,22,0
327,35,Female,Eastern Region,3,26.39,79.16,4.15,7,Groceries,106,0
328,63,Male,Northern Region,2,55.35,110.71,3.38,3,Furniture,104,0
329,35,Male,Greater Accra,5,19.08,95.38,7.34,4,Fashion,12,0
330,19,Female,Eastern Region,4,73.09,292.38,2.89,5,Electronics,45,0
331,52,Female,Greater Accra,2,20.02,40.04,22.52,6,Groceries,41,0
332,33,Female,Greater Accra,1,48.82,48.82,6.66,6,Books,32,0
333,58,Male,Greater Accra,2,35.31,70.62,6.47,5,Electronics,46,0
334,53,Female,Greater Accra,1,14.58,14.58,15.11,11,Furniture,20,0
335,50,Female,Greater Accra,2,62.52,125.05,32.04,4,Furniture,45,0
336,21,Female,Greater Accra,3,24.65,73.94,1.32,2,Groceries,69,0
337,50,Female,Volta Region,2,5.0,10.0,9.98,6,Furniture,3,0
338,31,Female,Greater Accra,0,5.0,0.0,1.06,2,Fashion,133,1
339,38,Female,Greater Accra,3,18.12,54.37,3.66,10,Groceries,10,0
340,65,Female,Greater Accra,7,74.4,520.78,0.63,2,Fashion,39,0
341,37,Female,Eastern Region,2,71.44,142.89,5.86,6,Groceries,231,0
342,25,Female,Greater Accra,2,22.04,44.07,3.79,3,Fashion,24,0
343,24,Male,Savana Region,2,30.64,61.28,5.94,5,Electronics,40,0
344,20,Female,Volta Region,2,28.38,56.75,6.8,4,Electronics,71,0
345,34,Male,Greater Accra,2,6.66,13.33,5.8,5,Health,32,0
346,50,Male,Ashanti Region,1,16.28,16.28,2.09,5,Electronics,75,0
347,65,Female,Greater Accra,1,64.53,64.53,10.88,6,Fashion,9,0
348,29,Female,Eastern Region,3,52.6,157.79,4.81,2,Fashion,15,0
349,68,Female,Ashanti Region,3,46.83,140.48,4.04,5,Electronics,29,0
350,39,Male,Greater Accra,2,6.62,13.24,26.09,9,Furniture,247,0
351,39,Female,Greater Accra,2,42.52,85.04,2.0,6,Groceries,25,0
352,63,Male,Eastern Region,2,5.0,10.0,4.51,5,Books,148,0
353,47,Female,Ashanti Region,0,61.07,0.0,6.88,4,Books,254,1
354,55,Female,Greater Accra,3,46.46,139.39,0.8,5,Electronics,5,0
355,55,Female,Northern Region,2,6.37,12.74,2.62,4,Fashion,31,0
356,62,Female,Eastern Region,2,80.41,160.82,9.71,5,Fashion,10,0
357,68,Female,Savana Region,1,5.0,5.0,1.62,4,Health,21,0
358,25,Female,Greater Accra,3,53.26,159.77,4.08,7,Fashion,24,0
359,44,Male,Northern Region,5,53.88,269.4,5.98,4,Furniture,33,0
360,44,Male,Eastern Region,0,9.01,0.0,6.67,5,Groceries,477,1
